"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"1995";"-175.3782"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"2000";"439.5048"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"2005";"31.4252"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"2010";"60"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"2015";"60"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SAU";"M";"2020";"35.9994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"1995";"-128"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"2000";"-86"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"2005";"-100"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"2010";"-160"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"2015";"-20"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SDN";"M";"2020";"-15"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"1995";"80"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"2000";"86.4"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"2005";"157"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"2010";"173"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"2015";"30"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SSD";"M";"2020";"10"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"1995";"-26"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"2000";"-75.982"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"2005";"228.1432"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"2010";"-300"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"2015";"249.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"SYR";"M";"2020";"-34.65"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"1995";"13.8888"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"2000";"43.7932"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"2005";"-10"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"2010";"-24"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"2015";"-24"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TCD";"M";"2020";"-6"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"1995";"-64.9586"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"2000";"-19.3084"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"2005";"-12.4712"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"2010";"-19.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"2015";"-19.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TJK";"M";"2020";"-19.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"1995";"92.891"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"2000";"172.7568"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"2005";"762.4386"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"2010";"102.8084"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"2015";"103.8006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ARE";"M";"2020";"96.9046"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"1995";"-189.1408"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"2000";"-74.156"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"2005";"-69.3844"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"2010";"-43.1362"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"2015";"-53.1362"
"SM_POP_NETM";"A";"_T";"_T";"_T";"EGY";"M";"2020";"-53.1362"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"1995";"-12.0648"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"2000";"-22.8908"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"2005";"-11.4096"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"2010";"-4.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"2015";"-5.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TKM";"M";"2020";"-4.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"1995";"-29.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"2000";"-20.0004"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"2005";"-10"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"2010";"70"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"2015";"-48.0006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"TUR";"M";"2020";"-22.0006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"1995";"-74.8406"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"2000";"-155.924"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"2005";"-88.6848"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"2010";"-40"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"2015";"-40"
"SM_POP_NETM";"A";"_T";"_T";"_T";"UZB";"M";"2020";"-40"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"1995";"-20"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"2000";"-20"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"2005";"-27"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"2010";"-27"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"2015";"-20"
"SM_POP_NETM";"A";"_T";"_T";"_T";"YEM";"M";"2020";"-20"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"1995";"-6.481"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"2000";"1.207"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"2005";"-5.553"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"2010";"-2.649"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"2015";"-1.595"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AFG";"M";"2020";"-0.114"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"1995";"-3.016"
